dataset,d,n,seed,method,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
ionosphere,34,151,2,shallow_rff,0.9868,0.9855,1.0,0.935,0.9273,0.9638,0.032,2026-06-24T05:17:52.415580
ionosphere,34,151,2,mlp,0.9338,0.9252,0.9775,0.885,0.8662,0.9206,0.12,2026-06-24T05:17:52.683392
ionosphere,34,151,2,rbf_exact,0.9934,0.9928,1.0,0.94,0.9332,0.9586,0.002,2026-06-24T05:17:52.707051
ionosphere,34,151,2,arch_proposed,0.9603,0.9564,0.991,0.915,0.9035,0.9499,0.184,2026-06-24T05:17:55.258629
ecoli,1648,1600,0,linear_svm,1.0,1.0,1.0,0.8975,0.897,0.9783,410.823,2026-06-24T05:24:46.206700
ecoli,1648,1600,0,grad_boost,1.0,1.0,1.0,0.965,0.965,0.9985,31.868,2026-06-24T05:25:18.398540
ecoli,1648,1600,0,shallow_rff,1.0,1.0,1.0,0.85,0.8519,0.9682,0.308,2026-06-24T05:25:19.076947
ecoli,1648,1600,0,mlp,0.9944,0.9944,0.9998,0.95,0.9505,0.9959,2.919,2026-06-24T05:25:22.155318
ecoli,1648,1600,0,rbf_exact,1.0,1.0,1.0,0.9575,0.9576,0.9876,1.454,2026-06-24T05:25:29.053735
ecoli,1648,1600,0,arch_proposed,0.9988,0.9987,0.9998,0.8075,0.8066,0.9601,3.242,2026-06-24T05:26:09.314437
ecoli,1648,1600,1,linear_svm,1.0,1.0,1.0,0.895,0.8954,0.9763,402.606,2026-06-24T05:32:52.183081
ecoli,1648,1600,1,grad_boost,1.0,1.0,1.0,0.9675,0.9677,0.9989,32.429,2026-06-24T05:33:24.936855
ecoli,1648,1600,1,shallow_rff,1.0,1.0,1.0,0.8575,0.857,0.969,0.292,2026-06-24T05:33:25.601468
ecoli,1648,1600,1,mlp,0.9944,0.9944,1.0,0.9325,0.9323,0.9973,2.816,2026-06-24T05:33:28.580866
ecoli,1648,1600,1,rbf_exact,1.0,1.0,1.0,0.9525,0.9525,0.9901,1.488,2026-06-24T05:33:35.669327
ecoli,1648,1600,1,arch_proposed,0.9981,0.9981,0.9997,0.8175,0.8167,0.9613,3.078,2026-06-24T05:34:16.262033
ecoli,1648,1600,2,linear_svm,1.0,1.0,1.0,0.895,0.8942,0.986,407.606,2026-06-24T05:41:04.123366
ecoli,1648,1600,2,grad_boost,1.0,1.0,1.0,0.975,0.975,0.9996,32.55,2026-06-24T05:41:37.013500
ecoli,1648,1600,2,shallow_rff,1.0,1.0,1.0,0.865,0.8611,0.9715,0.311,2026-06-24T05:41:37.698046
ecoli,1648,1600,2,mlp,0.9962,0.9962,1.0,0.965,0.9649,0.9994,2.886,2026-06-24T05:41:40.745293
ecoli,1648,1600,2,rbf_exact,1.0,1.0,1.0,0.985,0.9851,0.9969,1.479,2026-06-24T05:41:47.566528
ecoli,1648,1600,2,arch_proposed,0.9994,0.9994,0.9999,0.8475,0.8484,0.9738,2.15,2026-06-24T05:42:26.759528
glass,9,14,0,linear_svm,0.8571,0.9167,0.9833,0.625,0.5213,0.7103,0.002,2026-06-24T05:42:26.965488
glass,9,14,0,grad_boost,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.194,2026-06-24T05:42:27.220818
glass,9,14,0,shallow_rff,0.9286,0.8148,1.0,0.555,0.3265,0.8104,0.014,2026-06-24T05:42:27.282399
glass,9,14,0,mlp,0.6429,0.3568,0.7475,0.47,0.2734,0.5762,0.046,2026-06-24T05:42:27.367234
glass,9,14,0,rbf_exact,0.9286,0.961,0.9958,0.545,0.3612,0.8024,0.001,2026-06-24T05:42:27.394732
glass,9,14,0,arch_proposed,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.157,2026-06-24T05:42:31.410721
glass,9,14,1,linear_svm,1.0,1.0,1.0,0.505,0.4346,0.77,0.002,2026-06-24T05:42:31.456021
glass,9,14,1,grad_boost,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.214,2026-06-24T05:42:31.723977
glass,9,14,1,shallow_rff,1.0,1.0,1.0,0.53,0.2854,0.7666,0.014,2026-06-24T05:42:31.796730
glass,9,14,1,mlp,0.6429,0.6111,0.9718,0.415,0.2922,0.704,0.151,2026-06-24T05:42:32.018049
glass,9,14,1,rbf_exact,1.0,1.0,1.0,0.585,0.4763,0.8024,0.002,2026-06-24T05:42:32.055153
glass,9,14,1,arch_proposed,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.165,2026-06-24T05:42:36.581524
glass,9,14,2,linear_svm,1.0,1.0,0.9917,0.535,0.3421,0.7783,0.003,2026-06-24T05:42:36.635271
glass,9,14,2,grad_boost,0.3571,0.0877,0.5,0.355,0.0873,0.5,0.199,2026-06-24T05:42:36.894408
glass,9,14,2,shallow_rff,1.0,1.0,1.0,0.38,0.2653,0.7557,0.014,2026-06-24T05:42:36.955026
glass,9,14,2,mlp,0.9286,0.8182,0.9917,0.575,0.3744,0.6674,0.055,2026-06-24T05:42:37.046686
glass,9,14,2,rbf_exact,1.0,1.0,1.0,0.475,0.3408,0.7556,0.002,2026-06-24T05:42:37.076430
