dataset,panel,d,n,seed,method,m,L,feeding,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
poker,gap,10,40000,1,arch,100,5,disjoint,0.6013,0.6665,,0.554,0.1934,,228.042,2026-06-23T09:40:18.477590
poker,gap,10,40000,2,arch,100,1,disjoint,0.5735,0.4276,,0.54,0.1858,0.4621,285.67,2026-06-23T09:45:06.805587
poker,gap,10,40000,2,arch,100,2,disjoint,0.5922,0.5585,,0.5543,0.194,0.526,181.43,2026-06-23T09:48:16.770003
poker,gap,10,40000,2,arch,100,3,disjoint,0.5988,0.5989,,0.5525,0.173,0.5257,179.816,2026-06-23T09:51:26.738038
poker,gap,10,40000,2,arch,100,4,disjoint,0.6028,0.6121,,0.5497,0.1743,0.4877,204.704,2026-06-23T09:55:28.616539
poker,gap,10,40000,2,arch,100,5,disjoint,0.6071,0.6203,,0.552,0.231,0.4438,416.508,2026-06-23T10:02:46.204715
poker,gap,10,100000,2,arch,20,1,disjoint,0.5644,0.3883,0.8637,0.5523,0.2366,,140.358,2026-06-23T10:13:59.243106
poker,gap,10,100000,2,arch,20,2,disjoint,0.5836,0.4441,0.8834,0.5675,0.1836,,194.986,2026-06-23T10:17:20.973995
poker,gap,10,100000,2,arch,20,3,disjoint,0.588,0.5056,0.8909,0.5676,0.1952,,259.381,2026-06-23T10:21:50.592887
poker,gap,10,100000,2,arch,20,4,disjoint,0.5926,0.5265,0.8971,0.5655,0.1902,,338.663,2026-06-23T10:27:43.495753
poker,gap,10,100000,2,arch,20,5,disjoint,0.5972,0.5576,0.9019,0.5611,0.2047,,494.878,2026-06-23T10:37:09.142907
poker,gap,10,100000,2,arch,50,1,disjoint,0.5637,0.4901,0.8677,0.5513,0.2266,,462.46,2026-06-23T10:45:02.453432
poker,gap,10,100000,2,arch,50,2,disjoint,0.5792,0.5131,0.8793,0.5627,0.2084,,455.248,2026-06-23T10:52:51.037127
poker,gap,10,100000,2,arch,50,1,disjoint,0.5637,0.4901,0.8677,0.5513,0.2266,,311.361,2026-06-23T10:54:21.057748
poker,gap,10,100000,2,arch,50,2,disjoint,0.5792,0.5131,0.8793,0.5627,0.2084,,489.426,2026-06-23T11:02:50.123903
poker,gap,10,100000,2,arch,50,3,disjoint,0.5809,0.5137,0.8836,0.5658,0.2054,,709.036,2026-06-23T11:05:07.391275
poker,gap,10,100000,2,arch,50,4,disjoint,0.5833,0.5561,0.8892,0.5632,0.1745,,1262.409,2026-06-23T11:26:39.287427
poker,gap,10,100000,2,arch,50,5,disjoint,0.5841,0.5679,0.8914,0.5579,0.1773,,1174.724,2026-06-23T11:46:43.357754
chess_krk,gap,23,5416,0,flat_arccos,0,0,disjoint,0.7033,0.7116,0.975,0.4947,0.4459,0.9163,21.08,2026-06-23T11:46:50.249455
chess_krk,gap,23,5416,0,rbf_exact,0,0,disjoint,0.7208,0.7187,0.9766,0.5186,0.4582,0.9251,1.048,2026-06-23T11:46:59.105099
chess_krk,gap,23,5416,0,rbf_rff,0,0,disjoint,0.5857,0.5202,0.957,0.4561,0.3762,0.9095,2.609,2026-06-23T11:47:05.577509
chess_krk,gap,23,5416,0,arch,20,1,disjoint,0.6653,0.7389,0.9635,0.4969,0.456,0.8952,36.087,2026-06-23T11:47:42.208456
chess_krk,gap,23,5416,0,arch,20,2,disjoint,0.7227,0.7991,0.9737,0.5119,0.4496,0.8949,45.209,2026-06-23T11:48:28.724025
chess_krk,gap,23,5416,0,arch,20,3,disjoint,0.7518,0.8404,0.9792,0.5042,0.4284,0.9001,47.065,2026-06-23T11:49:17.271722
chess_krk,gap,23,5416,0,arch,20,4,disjoint,0.7635,0.8518,0.9825,0.5095,0.4356,0.9002,56.238,2026-06-23T11:50:15.987466
chess_krk,gap,23,5416,0,arch,20,5,disjoint,0.7766,0.8584,0.9845,0.5097,0.4451,0.8965,69.875,2026-06-23T11:51:28.783776
chess_krk,gap,23,5416,0,arch,50,1,disjoint,0.6953,0.7595,0.9693,0.4963,0.4439,0.8993,87.775,2026-06-23T11:52:57.379792
chess_krk,gap,23,5416,0,arch,50,2,disjoint,0.7633,0.8314,0.9802,0.5101,0.4575,0.9052,98.69,2026-06-23T11:54:38.022670
poker,gap,10,100000,2,arch,70,1,disjoint,0.5637,0.5059,0.8692,0.5545,0.2165,,480.64,2026-06-23T11:54:50.004863
chess_krk,gap,23,5416,0,arch,50,3,disjoint,0.8013,0.8747,0.9846,0.5136,0.4583,0.9034,74.715,2026-06-23T11:58:59.318914
chess_krk,gap,23,5416,0,arch,50,4,disjoint,0.8085,0.8841,0.9864,0.5081,0.4474,0.9022,71.931,2026-06-23T12:00:14.801925
chess_krk,gap,23,5416,0,arch,50,5,disjoint,0.8104,0.8854,0.9869,0.5074,0.4581,0.904,74.697,2026-06-23T12:01:34.194931
chess_krk,gap,23,5416,0,arch,70,1,disjoint,0.6931,0.7496,0.9694,0.4978,0.4574,0.8994,102.423,2026-06-23T12:03:17.468560
chess_krk,gap,23,5416,0,arch,70,2,disjoint,0.7666,0.8269,0.9801,0.5028,0.4369,0.9041,94.229,2026-06-23T12:04:53.993055
chess_krk,gap,23,5416,0,arch,70,3,disjoint,0.8107,0.8775,0.9854,0.5263,0.4676,0.9031,97.841,2026-06-23T12:06:35.213712
chess_krk,gap,23,5416,0,arch,70,4,disjoint,0.8251,0.8946,0.9868,0.5151,0.4634,0.904,87.212,2026-06-23T12:08:06.934234
chess_krk,gap,23,5416,0,arch,70,5,disjoint,0.8155,0.8868,0.9874,0.5204,0.4535,0.9044,87.762,2026-06-23T12:09:40.491769
chess_krk,gap,23,5416,1,arch,20,1,disjoint,0.6741,0.7434,0.9652,0.4794,0.3872,0.8763,27.47,2026-06-23T12:10:08.323972
chess_krk,gap,23,5416,1,arch,20,2,disjoint,0.7304,0.8116,0.9745,0.4967,0.3977,0.8928,29.237,2026-06-23T12:10:38.354618
chess_krk,gap,23,5416,1,arch,20,3,disjoint,0.7585,0.8407,0.981,0.5097,0.4183,0.8921,33.828,2026-06-23T12:11:13.408468
chess_krk,gap,23,5416,1,arch,20,4,disjoint,0.7729,0.859,0.9838,0.511,0.421,0.891,38.839,2026-06-23T12:11:54.016769
chess_krk,gap,23,5416,1,arch,20,5,disjoint,0.7856,0.8677,0.9863,0.5074,0.4099,0.8875,43.415,2026-06-23T12:12:40.501815
chess_krk,gap,23,5416,1,arch,50,1,disjoint,0.6992,0.7545,0.971,0.4848,0.4134,0.8843,66.743,2026-06-23T12:13:47.947070
chess_krk,gap,23,5416,1,arch,50,2,disjoint,0.7818,0.8437,0.9817,0.5003,0.4215,0.8845,72.132,2026-06-23T12:15:01.636341
chess_krk,gap,23,5416,1,arch,50,3,disjoint,0.8067,0.8733,0.9859,0.5101,0.4048,0.8847,64.52,2026-06-23T12:16:08.901981
chess_krk,gap,23,5416,1,arch,50,4,disjoint,0.8198,0.8884,0.9878,0.5024,0.4119,0.8832,65.23,2026-06-23T12:17:17.679381
