dataset,n_train,arm,m,L,train_acc,acc,cos_sim
Optdigits,1000,B_in_sqrt,10,1,1.0,0.9244,0.4048
Optdigits,1000,B_in_sqrt,10,2,1.0,0.9267,0.4048
Optdigits,1000,B_in_sqrt,50,1,1.0,0.962,0.4214
Optdigits,1000,B_in_sqrt,50,2,1.0,0.9674,0.4214
Optdigits,1000,C_splitdata_fullcols,1,1,1.0,0.9647,1.0
Optdigits,1000,C_splitdata_fullcols,1,2,1.0,0.9647,1.0
Optdigits,1000,D_dm_fullP,1,1,1.0,0.9653,1.0
Optdigits,1000,D_dm_fullP,1,2,1.0,0.9677,1.0
Optdigits,1000,D_sqrt_fullP,1,1,0.8163,0.6139,1.0
Optdigits,1000,D_sqrt_fullP,1,2,0.576,0.438,1.0
Optdigits,2000,B_in_dm,1,1,1.0,0.9789,1.0
Optdigits,2000,B_in_dm,1,2,1.0,0.981,1.0
Optdigits,2000,B_in_dm,10,1,1.0,0.9493,0.269
Optdigits,2000,B_in_dm,10,2,1.0,0.9647,0.269
Optdigits,2000,B_in_dm,50,1,1.0,0.9478,0.0789
Optdigits,2000,B_in_dm,50,2,1.0,0.9721,0.0789
Optdigits,2000,B_in_sqrt,1,1,0.7692,0.626,1.0
Optdigits,2000,B_in_sqrt,1,2,0.5427,0.4766,1.0
Optdigits,2000,B_in_sqrt,10,1,1.0,0.944,0.3734
Optdigits,2000,B_in_sqrt,10,2,1.0,0.941,0.3734
Optdigits,2000,B_in_sqrt,50,1,1.0,0.9784,0.3947
Optdigits,2000,B_in_sqrt,50,2,1.0,0.9786,0.3947
Optdigits,2000,C_splitdata_fullcols,1,1,1.0,0.9775,1.0
Optdigits,2000,C_splitdata_fullcols,1,2,1.0,0.981,1.0
Optdigits,2000,C_splitdata_fullcols,10,1,1.0,0.9733,0.5697
Optdigits,2000,C_splitdata_fullcols,10,2,0.9997,0.9757,0.5697
Optdigits,2000,D_dm_fullP,1,1,1.0,0.9804,1.0
Optdigits,2000,D_dm_fullP,1,2,1.0,0.9813,1.0
Optdigits,2000,D_dm_fullP,10,1,0.9995,0.9614,0.3495
Optdigits,2000,D_dm_fullP,10,2,1.0,0.9478,0.3495
Optdigits,2000,D_sqrt_fullP,1,1,0.7713,0.6269,1.0
Optdigits,2000,D_sqrt_fullP,1,2,0.5772,0.5012,1.0
Optdigits,2000,D_sqrt_fullP,10,1,0.9972,0.938,0.4411
Optdigits,2000,D_sqrt_fullP,10,2,0.9968,0.9288,0.4411
Optdigits,3823,B_in_dm,1,1,1.0,0.9846,1.0
Optdigits,3823,B_in_dm,1,2,1.0,0.9852,1.0
Optdigits,3823,B_in_dm,10,1,0.9999,0.9641,0.2486
Optdigits,3823,B_in_dm,10,2,1.0,0.9739,0.2486
Optdigits,3823,B_in_dm,50,1,0.9956,0.9659,0.0782
Optdigits,3823,B_in_dm,50,2,1.0,0.9798,0.0782
Optdigits,3823,B_in_sqrt,1,1,0.7367,0.6477,1.0
Optdigits,3823,B_in_sqrt,1,2,0.5291,0.4905,1.0
Optdigits,3823,B_in_sqrt,10,1,0.9998,0.9549,0.3458
Optdigits,3823,B_in_sqrt,10,2,1.0,0.9549,0.3458
Optdigits,3823,B_in_sqrt,50,1,1.0,0.9837,0.3671
Optdigits,3823,B_in_sqrt,50,2,1.0,0.987,0.3671
Optdigits,3823,C_splitdata_fullcols,1,1,1.0,0.9852,1.0
Optdigits,3823,C_splitdata_fullcols,1,2,1.0,0.9861,1.0
Optdigits,3823,C_splitdata_fullcols,10,1,0.9993,0.9816,0.5754
Optdigits,3823,C_splitdata_fullcols,10,2,0.9996,0.9813,0.5754
Optdigits,3823,D_dm_fullP,1,1,1.0,0.984,1.0
Optdigits,3823,D_dm_fullP,1,2,1.0,0.9852,1.0
